,Python/is_empty1,Python/is_empty2,C++/is_empty,C++/old_is_empty,/result,aut/states,aut/edges,aut/sccs,aut/ntsccs,aut/nrsccs,aut/nrstates,aut/sets,aut/acc,/bench
0,0.01968230839993339,0.0035006989201065153,0.0008982341599767096,0.011000183850410395,FFFF,4,8,1,1,1,4,4,Fin(0) & (Inf(1) | (Fin(2) & Inf(3))),small
1,0.03466685260063969,0.0057054127601440996,0.001104998605151195,0.008268955880776047,TTTT,7,18,6,5,1,2,3,Fin(0) & Fin(2) & Inf(1),small
2,0.038677636702777816,0.006431398639688268,0.001508960260252934,0.011926519952248782,TTTT,11,35,6,5,1,2,5,(Fin(0) | Inf(1)) & (Fin(2) | Inf(3)) & Fin(4),small
3,0.032265698496485126,0.005840190920280292,0.0011026893049711362,0.016498122550547122,TTTT,8,27,6,4,1,2,6,((Fin(0) & Inf(1)) | (Fin(2) & Inf(3))) & Fin(4) & Inf(5),small
4,0.007283406279748305,0.003363476439844817,0.0008348905020393431,0.022740586899453775,FFFF,10,28,1,1,1,10,5,((Inf(4) | Fin(0)) & Fin(1)) | (Inf(2)&Inf(3)),small
5,0.02038999950163998,0.0032384123600786552,0.000729180849972181,0.026508295396342873,FFFF,10,27,1,1,1,10,5,(Inf(1) | (Fin(0) & Inf(4)) | Fin(2)) & Fin(3),small
6,0.04710221040295437,0.033455890900222586,0.005177719340426847,0.02078489430132322,TTTT,10,19,2,1,1,9,6,(Fin(0) & Inf(1)) | (Fin(2) & Inf(3)) | (Fin(4) & Inf(5)),small
7,0.0198333973006811,0.0035827139404136688,0.0010013871800038032,0.02199414820061065,FFFF,10,19,1,1,1,10,6,Fin(5) & ((Fin(1) & (Inf(3) | Inf(4))) | (Fin(0)|Fin(2))),small
8,0.026789432199439033,0.02727874579722993,0.0034026044904021547,0.008721317619783803,TTTT,10,12,5,2,2,7,6,(Fin(0) | Inf(1)) & (Fin(2) | Inf(3)) & (Fin(4) | Inf(5)),small
9,0.020031718397513033,0.01742950744810514,0.0017681664900737815,0.00850243185996078,FFFF,2,4,1,1,1,2,4,(Fin(0)|Fin(1)) & (Fin(2)|Fin(3)),small
10,0.051564806990791114,0.04730805060826242,0.004813261999515817,0.011805832749814726,TTTT,2,4,1,1,1,2,6,(Fin(0)|Fin(1)) & (Fin(2)|Fin(3)) & (Fin(4)|Fin(5)),small
11,0.11210437249974348,0.07984863180899993,0.013320226350333541,0.018819893200998195,TTTT,2,8,1,1,1,2,8,Fin(5) & (Inf(4) | (Fin(3) & (Inf(2) | (Fin(1) & Inf(0))))) & (Inf(6) | Inf(7)) & (Fin(6)|Fin(7)),small
0,27.862203400582075,3.6835944798076525,3.611341569921933,449.4102380122058,FFFF,100000,125499,1,1,1,100000,20,(((Inf(8) | (Inf(15)&Inf(19))) & ((Fin(4) & (Fin(9)|Fin(10)|Fin(14)|Fin(16))) | (Fin(6) & Inf(18)))) | Inf(13) | (Fin(0) & (Inf(11)&Inf(12)&Inf(17)))) & ((Fin(2)|Fin(3)) | (Fin(7) & Fin(5) & Fin(1))),random
1,5.927847259445116,0.03643497080192901,0.03257700189715251,450.6033289944753,FFFF,100000,125538,6,1,1,99995,20,Inf(12) | (((Fin(5) & (Inf(3) | Fin(11)) & (Inf(6)&Inf(7))) | Inf(10) | ((Inf(17) | Fin(2)) & Inf(18))) & ((Inf(13) & (Fin(1) | Inf(8)) & (Inf(16) | Fin(0))) | Fin(14) | Inf(15))) | Inf(19) | Inf(9) | Fin(4),random
2,18.324327751179226,0.0674854245968163,0.06281308080069721,510.18192496849224,FFFF,100000,125387,4,1,1,99997,20,(Inf(18) | (Inf(6) & Fin(19)) | Fin(1)) & (Inf(4) | ((Inf(11) | Fin(17)) & Fin(9) & Fin(3))) & (Inf(13) | (Inf(0)&Inf(15))) & ((Fin(10) & (Fin(5)|Fin(12)) & (Inf(2)&Inf(14))) | Inf(8)) & Inf(16) & Fin(7),random
