formula,tool,MC time,MEC checking time,MEC checking time EL,automaton size,product size,automata translation time,acceptance sets
Pmin=? [(G F p1=10) & (G F p2=10) & (G F p3=10) & (G F p4=10)],ltl2tgba,110.152,-,109.803,16,27600,0.07,4
Pmin=? [(G F p1=10) & (G F p2=10) & (G F p3=10) & (G F p4=10)],rabinizer,132.349,130.732,121.141,16,27600,1.321,4
Pmin=? [(G F p1=10) & (G F p2=10) & (G F p3=10) & (G F p4=10)],std,-,-,-,3513,3492797,0.858,14
Pmax=? [((G F p1=0) | (F G p2!=0)) & ((G F p2=0) | (F G p3!=0))],ltl2tgba,0.74,-,0.4,8,27600,0.056,3
Pmax=? [((G F p1=0) | (F G p2!=0)) & ((G F p2=0) | (F G p3!=0))],rabinizer,235.68,234.345,0.722,8,27600,1.003,6
Pmax=? [((G F p1=0) | (F G p2!=0)) & ((G F p2=0) | (F G p3!=0))],std,(EL:) 587.81,-,585.851,335,324961,0.274,8
Pmax=? [((G F p1=0) | (F G p2!=0)) & ((G F p2=0) | (F G p3!=0)) & ((G F p3=0) | (F G p1!=0))],ltl2tgba,0.779,-,0.416,8,27600,0.062,3
Pmax=? [((G F p1=0) | (F G p2!=0)) & ((G F p2=0) | (F G p3!=0)) & ((G F p3=0) | (F G p1!=0))],rabinizer,101.757,100.096,0.571,8,27600,1.365,5
Pmax=? [((G F p1=0) | (F G p2!=0)) & ((G F p2=0) | (F G p3!=0)) & ((G F p3=0) | (F G p1!=0))],std,(EL:) 856.439,-,855.115,28,146591,0.15,6
Pmin=? [((G F p1!=10) | (G F p1=0) | (F G p1=1)) & (G F p1!=0) & (G F p1=1)],ltl2tgba,0.939,-,0.574,6,27600,0.064,4
Pmin=? [((G F p1!=10) | (G F p1=0) | (F G p1=1)) & (G F p1!=0) & (G F p1=1)],rabinizer,253.597,251.584,119.029,6,27600,1.441,6
Pmin=? [((G F p1!=10) | (G F p1=0) | (F G p1=1)) & (G F p1!=0) & (G F p1=1)],std,2.08,1.601,0.598,29,35467,0.136,6
Pmax=? [((G p1!=10) | (G p2!=10) | (G p3!=10)) & ((F G p1!=1) | (G F p2=1) | (G F p3=1)) & ((F G p2!=1) | (G F p1=1) | (G F p3=1))],ltl2tgba,-,-,-,50,164274,0.124,4
Pmax=? [((G p1!=10) | (G p2!=10) | (G p3!=10)) & ((F G p1!=1) | (G F p2=1) | (G F p3=1)) & ((F G p2!=1) | (G F p1=1) | (G F p3=1))],rabinizer,-,-,-,57,168762,3.099,12
Pmax=? [((G p1!=10) | (G p2!=10) | (G p3!=10)) & ((F G p1!=1) | (G F p2=1) | (G F p3=1)) & ((F G p2!=1) | (G F p1=1) | (G F p3=1))],std,-,-,-,-,-,-,-
Pmin=? [(F G p1!=0) | (F G p2!=0) | (G F p3=0) | ((F G p1!=10) & (G F p2=10) & (G F p3=10))],ltl2tgba,107.573,-,107.002,64,27600,0.187,6
Pmin=? [(F G p1!=0) | (F G p2!=0) | (G F p3=0) | ((F G p1!=10) & (G F p2=10) & (G F p3=10))],rabinizer,358.466,355.306,127.293,33,27600,2.194,10
Pmin=? [(F G p1!=0) | (F G p2!=0) | (G F p3=0) | ((F G p1!=10) & (G F p2=10) & (G F p3=10))],std,85.726,54.941,9.575,11558,1533246,10.996,10
